"Country.ID","Country.Name","Share.of.All.Commodities.Export","Share.of.Agriculture.Export","Share.of.Energy.Export","Share.of.Mining.Export","Mining.Export.Score","Super.Region.Country","PRGT.Eligible","Average.time.to.clear.exports.through.customs..days.","Container.port.traffic..TEU..20.foot.equivalent.units.","GDP.growth..annual...","GDP.per.capita..current.US..","Liner.shipping.connectivity.index..maximum.value.in.2004...100.","Rail.lines..total.route.km.","product_code_1","product_code_2","product_code_3","product_code_4","product_code_5","product_code_6","product_label_1","product_label_2","product_label_3","product_label_4","product_label_5","product_label_6","exports_2024_1","exports_2024_2","exports_2024_3","exports_2024_4","exports_2024_5","exports_2024_6","pct_of_total_1","pct_of_total_2","pct_of_total_3","pct_of_total_4","pct_of_total_5","pct_of_total_6"
14,"Bangladesh",4.9,4.4,0.2,0.4,1,1,1,NA,2897709,4.223259113,2593.416074,13.80449154,NA,"'7404","'7204","'7602","'7601","'7205","'7326","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Unwrought aluminium","Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ...","Articles of iron or steel, n.e.s. (excl. cast articles)",52426,36220,19275,11731,8018,5633,0.044278703501048,0.0305912074315789,0.0162795561359383,0.00990793634400477,0.0067719575148095,0.00475759998514865
15,"Barbados",37.6,30.6,4.2,2.8,2,0,0,NA,NA,3.800000319,25365.79494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Belarus",40.1,24.8,13.9,1.5,1,0,0,NA,NA,4.009848525,8316.647763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Belgium",28,12.3,7.5,8.3,4,0,0,NA,NA,1.018898625,55954.61063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Belize",87.6,74.7,6.3,6.6,3,0,0,NA,NA,8.151789827,8429.679597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Benin",92.1,61.4,7.5,23.1,5,1,1,NA,NA,7.453115662,1485.38019,18.40028664,NA,"'7214","'7213","'7308","'7302","'7216","'7210","Other Iron","Other Iron","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...","Railway or tramway track construction material of iron or steel, the following : rails, check-rails ...","Other Iron","Other Iron",24391,10581,2541,1855,1275,1154,1.09589668890121,0.475408259819757,0.114168073736131,0.083345838953374,0.057286223539381,0.0518496485995652
20,"Bhutan",43.7,9,15.7,19,5,0,1,NA,NA,4.882593963,3839.409304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Bolivia",94.6,18.9,27.1,48.6,6,1,0,NA,NA,1.38468279,4001.21134,NA,NA,"'8001","'7204","'7403","'7602","'8110","'7404","Unwrought tin","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Antimony and articles thereof","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",528987,28015,16918,14618,7931,5158,2.91962322578167,0.154622409757278,0.0933750465205653,0.080680720536566,0.0437733475561298,0.0284684058371602
22,"Bosnia and Herzegovina",26.6,11.4,8.2,7.1,4,0,0,NA,NA,2.480047084,8957.372942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Botswana",94,2,0.4,91.6,6,1,0,NA,NA,-2.989868795,7695.242064,NA,886,"'7204","'7404","'7307","'7214","'7216","'7602","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel","Other Iron","Other Iron","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",8295,7181,6943,6389,3009,2758,0.105825330412325,0.0916132245558653,0.0885768859617564,0.0815091062090828,0.0383879950826624,0.0351858060611442
24,"Brazil",73.4,41.3,13.2,19,5,1,0,NA,10450632,3.395866455,10280.31486,36.81357973,NA,"'7207","'7202","'7201","'7304","'7224","'7601","Other Iron","Ferro-alloys","Pig iron and spiegeleisen, in pigs, blocks or other primary forms","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)","Other Iron","Unwrought aluminium",3864537,3648851,1652866,894139,784155,732891,0.573294921146364,0.541298413320879,0.245198760714545,0.132643405276981,0.116327539079462,0.108722645960921
25,"Brunei",86.1,0.2,85.5,0.4,1,0,0,NA,NA,4.200372735,33417.83577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Bulgaria",39.6,17.9,6.8,14.9,5,0,0,NA,NA,2.810827752,17412.41151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Burkina Faso",97.2,12.5,0.6,84.1,6,1,1,NA,NA,4.985103006,987.3213781,NA,518,"'7213","'7214","'7801","'7602","'7210","'7216","Other Iron","Other Iron","Unwrought lead :","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Other Iron","Other Iron",6043,4347,3068,3004,2269,1916,0.0535370748451496,0.03851161084757,0.0271804973729801,0.026613498731562,0.020101873709026,0.0169745218274543
28,"Burundi",95.1,36.1,1.3,57.7,6,1,1,NA,NA,3.489231748,153.9302179,NA,NA,"'7214","'7210","'7610","'7616","'7801","'7204","Other Iron","Other Iron","Other Aluminium","Other Aluminium","Unwrought lead :","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",4069,2233,1818,194,79,71,1.10312257700712,0.605375452066084,0.492867251167103,0.0525941951190418,0.0214172237855892,0.0192483909971751
29,"Cabo Verde",78,73.7,0.8,3.5,2,1,1,NA,76139,7.271881472,5272.85253,4.231495443,NA,"'7209","'7211","'7222","'7302","'7304","'7317","Other Iron","Other Iron","Other Iron","Railway or tramway track construction material of iron or steel, the following : rails, check-rails ...","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,0,0
30,"Cambodia",22.1,10.6,0,11.5,4,0,1,NA,NA,6.015814574,2627.879697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Cameroon",92.4,39.7,46.1,6.7,3,1,1,NA,366667,3.670742847,1762.368351,18.94577224,884,"'7601","'7404","'7801","'7402","'7403","'7602","Unwrought aluminium","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Unwrought lead :","Copper, unrefined; copper anodes for electrolytic refining","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",82015,17919,9480,9243,5709,1642,0.57341586308159,0.125282434317613,0.0662803436202338,0.0646233350297279,0.0399150297181345,0.0114802029772599
32,"Canada",52.1,17.5,22.6,12.1,4,0,0,NA,NA,1.528081109,54282.61761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Central African Republic",76.9,59.5,0.1,17.3,5,1,1,NA,NA,1.539632475,516.1704245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Chad",98.3,8,90.2,0.1,1,1,1,NA,NA,3.654451105,1016.088807,NA,NA,"'7404","'7326","'7308","'7318","'7317","'7219","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, whether or not with heads of other material (excluding such articles with heads of copper and staples in strips)","Other Iron",393,10,8,8,7,7,0.00563033942064237,0.000143265634113037,0.00011461250729043,0.00011461250729043,0.000100285943879126,0.000100285943879126
35,"Chile",88.3,28.8,0.7,58.7,6,1,0,NA,4217172,2.644311549,16709.8894,36.21516166,2396,"'7403","'7402","'7408","'7202","'7404","'7204","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Copper, unrefined; copper anodes for electrolytic refining","Other Copper","Ferro-alloys","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",17281678,2115935,378347,267610,261528,171716,8.36382886261283,1.02405091822754,0.183108929508059,0.129515446470176,0.12657193559453,0.0831055431638308
36,"China",5.8,3,1.4,1.4,1,0,0,NA,NA,4.977356592,13303.14815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Colombia",78.6,22,48,8.6,4,0,0,NA,NA,1.74380145,7913.988015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
