Country.Name,product_code_1,product_code_2,product_code_3,product_code_4,product_code_5,product_code_6,product_label_1,product_label_2,product_label_3,product_label_4,product_label_5,product_label_6,exports_2024_1,exports_2024_2,exports_2024_3,exports_2024_4,exports_2024_5,exports_2024_6,pct_of_total_1,pct_of_total_2,pct_of_total_3,pct_of_total_4,pct_of_total_5,pct_of_total_6
Congo (Republic of the),'7403,'8105,'7204,'7404,'7602,'7901,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Cobalt mattes and other intermediate products,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Unwrought zinc :,1425520,29586,21890,13939,8895,7708,8.804893463,0.18274144,0.135206183,0.086095888,0.054941023,0.047609377
Côte d’Ivoire,'7326,'7214,'7311,'7310,'7404,'7308,"Articles of iron or steel, n.e.s. (excl. cast articles)",Other Iron,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...","Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",14312,7240,6626,4147,2759,2686,0.034824317,0.017616549,0.016122549,0.010090584,0.006713268,0.006535643
Democratic Republic of the Congo,'7403,'8105,'7402,'7404,'7401,'7405,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Cobalt mattes and other intermediate products,"Copper, unrefined; copper anodes for electrolytic refining","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Copper mattes; cement copper "precipitated copper",Master alloys of copper (excluding phosphorus-copper compounds "copper phosphide" containing by weight > 15% phosphorus),19292536,2985048,1142093,15752,12476,12414,33.15141402,5.129370349,1.962520526,0.027067518,0.021438189,0.021331651
Djibouti,'7404,'7403,'7801,'7410,'7602,'7308,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Unwrought lead :,Other Copper,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",3635,3304,1131,955,412,174,0.791659589,0.719571742,0.246318293,0.207987595,0.08972868,0.037895122
Egypt,'7408,'7208,'7214,'7601,'7213,'7308,Other Copper,Other Iron,Other Iron,Unwrought aluminium,Other Iron,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",988995,857980,635690,393254,323241,247169,1.102635295,0.95656604,0.708733847,0.438440781,0.36038295,0.27556991
Equatorial Guinea,'7204,'7602,'7404,'7801,'7304,'7902,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Unwrought lead :,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)","Zinc waste and scrap (excluding ash and residues from zinc production ""heading 2620"", ingots ...",13559,3250,2111,334,118,77,0.153594971,0.036815669,0.023913193,0.003783518,0.001336692,0.000872248
Eritrea,'7308,'7419,'7318,'7508,'7616,'7326,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",Other Copper,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. ...",Other Nickel,Other Aluminium,"Articles of iron or steel, n.e.s. (excl. cast articles)",88,42,12,7,4,2,0.007765613,0.003706315,0.001058947,0.000617719,0.000352982,0.000176491
Eswatini,'7204,'7404,'7601,'7602,'7307,'7318,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Unwrought aluminium,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. ...",3897,2155,1395,969,297,287,0.090487357,0.050038556,0.032391548,0.022499936,0.006896265,0.006664068
Ethiopia,'7801,'7404,'7403,'7412,'7601,'7608,Unwrought lead :,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Copper,Unwrought aluminium,Other Aluminium,1869,1424,815,339,281,179,0.027851891,0.021220488,0.012145153,0.005051788,0.00418747,0.002667463
Gabon,'7202,'7403,'7601,'7402,'7801,'7204,Ferro-alloys,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Unwrought aluminium,"Copper, unrefined; copper anodes for electrolytic refining",Unwrought lead :,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",22432,14394,4598,2220,1733,1414,0.14264293,0.091530061,0.02923824,0.014116766,0.01101998,0.00899149
Gambia,'7204,'7602,'7214,'7311,'7404,'7802,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",Other Iron,"Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", ...",507,182,26,21,17,12,0.510702594,0.183329136,0.026189877,0.021153362,0.01712415,0.012087635
Georgia,'7202,'7304,'7404,'7602,'7601,'7801,Ferro-alloys,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",Unwrought aluminium,Unwrought lead :,321960,29391,27348,15534,9238,9228,5.039745364,0.460066952,0.428087204,0.243158791,0.144605441,0.144448907
Ghana,'7601,'7404,'7801,'7602,'7204,'7213,Unwrought aluminium,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",Other Iron,131419,81567,59899,34281,11108,8245,0.404921282,0.251319933,0.184557635,0.105624807,0.034225383,0.025404059
Guinea,'7403,'7601,'7801,'7404,'7204,'7602,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Unwrought aluminium,Unwrought lead :,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",15944,11401,7140,3430,2409,2020,0.082507696,0.058998384,0.036948379,0.017749711,0.012466197,0.010453183
Guinea-Bissau,'7602,'7326,'7304,'7616,'7312,'7204,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Articles of iron or steel, n.e.s. (excl. cast articles)","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Other Aluminium,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel (excl. electrically ...","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",620,67,59,53,43,24,0.146267467,0.015806323,0.013919001,0.012503509,0.010144357,0.005661966
India,'7601,'7202,'7308,'7208,'7326,'7210,Unwrought aluminium,Ferro-alloys,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",Other Iron,"Articles of iron or steel, n.e.s. (excl. cast articles)",Other Iron,4828384,2636509,1797239,1572882,1431710,1261586,0.546567504,0.29844978,0.203445384,0.17804843,0.162067922,0.142810081
Iraq,'7602,'7403,'7413,'7408,'7404,'7614,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Copper,Other Copper,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Other Aluminium,41720,11768,8247,7076,5319,5086,0.019120632,0.005393375,0.00377967,0.003242991,0.002437743,0.002330957
Jordan,'7404,'7602,'7308,'7214,'7606,'7306,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",Other Iron,Other Aluminium,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", ...",76436,55576,53746,37980,28664,28315,0.376034339,0.27341154,0.264408676,0.186846305,0.141015337,0.139298398
Kazakhstan,'7403,'7202,'7901,'7208,'7601,'7210,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Ferro-alloys,Unwrought zinc :,Other Iron,Unwrought aluminium,Other Iron,4131828,2425460,650727,649763,543374,388673,2.531186332,1.485853525,0.398639849,0.398049295,0.33287466,0.238103761
Kenya,'7210,'7404,'7403,'7306,'7602,'7311,Other Iron,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", ...","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...",122740,93745,19509,18713,16218,15330,0.743356366,0.567752506,0.118153327,0.113332473,0.09822188,0.092843841
Kuwait,'7612,'7308,'7304,'7202,'7602,'7408,Other Aluminium,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Ferro-alloys,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",Other Copper,36135,35927,26076,21574,21219,19539,0.023775707,0.02363885,0.017157198,0.014195022,0.013961443,0.012856055
Kyrgyzstan,'7404,'7214,'7801,'7326,'7601,'7616,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Other Iron,Unwrought lead :,"Articles of iron or steel, n.e.s. (excl. cast articles)",Unwrought aluminium,Other Aluminium,59005,38496,14046,9370,6145,5641,0.788796615,0.514626125,0.187771159,0.125260983,0.082148211,0.075410587
Lebanon,'7204,'7404,'7801,'7602,'7403,'7601,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Unwrought aluminium,149627,102111,59227,36911,11923,9829,3.846160767,2.624762389,1.522429533,0.948796942,0.306480614,0.252654362
Lesotho,'7204,'7308,'7610,'7613,'7326,'7311,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",Other Aluminium,Other Aluminium,"Articles of iron or steel, n.e.s. (excl. cast articles)","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)",1049,577,446,177,110,99,0.052202482,0.028713853,0.022194764,0.008808236,0.005474045,0.00492664
Liberia,'7602,'7404,'7410,'7406,'7304,'7202,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Other Copper,"Powders and flakes, of copper (excl. grains of copper and spangles of heading 8308)","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Ferro-alloys,5115,4174,312,215,133,129,0.107109383,0.087404607,0.006533358,0.004502154,0.002785053,0.002701292
Libya,'7203,'7204,'7404,'7602,'7801,'7207,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",Unwrought lead :,Other Iron,258249,147097,128595,76145,22515,22495,0.432318506,0.246245891,0.21527285,0.127469584,0.037690954,0.037657473
Madagascar,'7502,'8105,'7503,'7311,'7308,'7306,Unwrought nickel,Cobalt mattes and other intermediate products,"Waste and scrap, of nickel (excluding ingots or other similar unwrought shapes, of remelted nickel waste and scrap, ashes and residues containing nickel and waste and scrap of primary cells, primary batteries and electric accumulators)","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically constructed or equipped for one or more types of transport)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",462029,60017,1448,912,874,806,9.034386392,1.173555703,0.028313789,0.017832994,0.017089953,0.0157603
Malawi,'7204,'7601,'7801,'7227,'7403,'7228,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",Unwrought aluminium,Unwrought lead :,Other Iron,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",Other Iron,5958,664,616,578,326,192,0.310802662,0.03463796,0.032134011,0.030151718,0.017005987,0.010015796
Maldives,'7204,'7404,'7602,'7802,'7222,'7224,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)",Other Iron,Other Iron,3050,809,122,16,0,0,1.637047732,0.434220202,0.065481909,0.008587791,0,0
