Country Name,GDP growth (annual %),GDP per capita (current US$),Average time to clear exports through customs (days),Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),Rail lines (total route-km)
Kenya,4.496498285,2206.134979,NA,1359579,16.72504284,NA
Kiribati,5.266899264,2288.634583,NA,NA,NA,NA
"Korea, Dem. People's Rep.",NA,NA,NA,NA,NA,NA
"Korea, Rep.",1.356733243,33121.37129,NA,NA,NA,NA
Kosovo,4.412738288,7299.434981,NA,NA,NA,NA
Kuwait,-2.560111133,32213.86223,NA,863618,11.28283221,NA
Kyrgyzstan,9.040135561,2419.265536,NA,NA,NA,424
Lao PDR,4.258257247,2123.979094,NA,NA,NA,NA
Latvia,-0.442491126,23367.59868,NA,NA,NA,NA
Lebanon,-0.76058447,3477.724898,NA,832954,33.17758183,NA
Lesotho,2.762238185,971.8146205,NA,NA,NA,NA
Liberia,4.792914822,846.2773684,NA,NA,7.433794275,NA
Libya,-0.605832527,6318.40314,NA,NA,12.40107525,NA
Liechtenstein,NA,207973.6177,NA,NA,NA,NA
Lithuania,2.772631245,29386.28784,NA,NA,NA,NA
Luxembourg,1.031616713,137516.5873,NA,NA,NA,NA
"Macao SAR, China",8.808159685,73046.88903,NA,NA,NA,NA
Madagascar,4.2,544.9973027,NA,NA,7.765154056,673
Malawi,1.82685,508.3712735,NA,NA,NA,NA
Malaysia,5.114155478,11867.25864,NA,NA,NA,NA
Maldives,5.133962231,13215.53536,NA,NA,7.215384739,NA
Mali,5.004545937,1086.176218,NA,NA,NA,NA
Malta,5.969281961,42347.30739,NA,NA,NA,NA
Marshall Islands,2.770968022,7466.651865,NA,NA,NA,NA
Mauritania,5.2,2082.783744,NA,NA,6.166713965,728
Mauritius,4.693903184,11871.73368,NA,438078,33.73429687,NA
Mexico,1.454062478,14157.94458,NA,NA,NA,NA
"Micronesia, Fed. Sts.",0.719083512,4166.004767,NA,NA,NA,NA
Moldova,0.103059412,7617.516131,NA,NA,NA,NA
Monaco,5.043382592,256580.5151,NA,NA,NA,NA
Mongolia,4.864001434,6691.482098,NA,NA,NA,NA
Montenegro,3.040315798,12935.45227,NA,NA,NA,NA
Morocco,3.236513735,3993.387451,NA,7000928,68.05225001,2295
Mozambique,1.851775025,647.2857995,NA,417459,14.54538699,NA
Myanmar,-0.972046414,1359.259614,NA,NA,NA,NA
Namibia,3.711544974,4413.127442,NA,154207,14.59477899,NA
Nauru,1.760251622,13421.83306,NA,NA,NA,NA
Nepal,3.665374307,1447.310045,NA,NA,NA,NA
Netherlands,0.979674922,68218.7261,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA
New Zealand,-0.126462419,48747.01369,NA,NA,NA,NA
Nicaragua,3.587830229,2847.539663,NA,NA,NA,NA
Niger,8.421597895,722.7486503,NA,NA,NA,NA
Nigeria,3.426439471,806.9456951,NA,1548622,21.25095109,NA
North Macedonia,2.756249173,9310.0279,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA
Norway,2.100453278,86809.72469,NA,NA,NA,NA
Oman,1.67407663,20248.41681,NA,5141830,60.72164458,NA
Pakistan,3.234784432,1484.749859,NA,3161000,40.78238378,NA
